id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
13	adult	-0.5634	-0.1302	2	53	485	38	2016.8947	46.1842	1.0246
20	aged	-0.5863	0.0744	2	53	448	34	2016.7647	48.9706	1.0774
21	"aged, 80 and over"	-0.4508	0.9043	2	35	105	7	2015.1429	28.7143	0.8471
25	alanine aminotransferase	0.1802	0.5844	1	39	71	5	2017.8	21.4	0.9471
55	antidiabetic agent	-0.4217	-0.5958	3	46	163	12	2017	67.25	1.6602
84	biological marker	0.7494	0.0306	1	40	98	9	2020.5556	5.4444	0.5025
101	body mass	-0.0717	0.3499	3	49	187	14	2018.9286	49.7857	1.6787
116	cancer diagnosis	-0.1403	0.6568	2	39	81	5	2019.2	18.8	2.11
119	cancer incidence	-1.0242	0.1174	2	40	172	12	2015.3333	81	1.2641
122	cancer mortality	-0.8011	0.1804	2	37	71	5	2017.4	204	2.2087
123	cancer patient	0.3586	0.4827	1	25	50	5	2019.6	5.6	0.5437
128	cancer risk	-0.364	0.1754	2	51	335	29	2018.2759	50.6552	0.9591
140	"carcinoma, pancreatic ductal"	0.3715	-0.9186	3	29	68	6	2020.5	20.6667	0.7573
238	diabetes mellitus	0.483	-0.2469	1	42	162	14	2017	30.3571	1.0065
239	"diabetes mellitus, type 2"	-0.1436	-0.2314	3	55	487	39	2017.8718	59.2821	1.1975
241	diabetic patient	-0.0374	0.9101	2	28	71	5	2017.8	24.8	1.2221
258	disease association	-0.0687	0.1777	2	51	267	22	2017.1364	61.0909	0.5713
261	disease duration	-0.8742	0.5589	2	33	75	5	2017	194.4	1.7567
327	female	-0.3292	-0.0172	2	53	532	43	2017.0698	47.0698	1.0082
349	gene expression	1.1918	-0.0946	1	20	46	5	2021	19.4	0.8905
373	genetics	0.8703	0.3614	1	32	70	7	2020.1429	18.7143	0.535
374	genome-wide association study	0.466	0.6896	1	30	56	5	2017.6	52	1.0074
388	glucose	0.1335	0.3167	1	46	141	11	2017	68.8182	0.6677
389	glucose blood level	0.3304	-0.0975	1	47	188	14	2017.3571	27.3571	0.6588
421	hemoglobin a1c	-0.1977	-0.4826	3	37	116	9	2019.1111	30.6667	0.7992
451	human tissue	0.6932	0.5204	1	26	55	5	2014.2	57.6	1.8977
453	hyperglycemia	0.5245	0.0077	1	35	70	7	2019.2857	32.8571	1.1046
460	hypoglycemic agents	-0.8083	-0.5819	3	36	138	10	2016	79.2	1.8076
485	insulin blood level	0.6318	-0.6862	1	27	64	5	2017	22.2	0.7526
492	insulin release	0.7343	0.2418	1	34	66	5	2016.2	48.4	0.954
493	insulin resistance	0.483	0.1907	1	51	201	19	2014.8421	65.3158	0.9147
522	liraglutide	0.1061	-0.337	3	32	64	5	2020.2	13.8	1.973
551	male	-0.3706	-0.2254	2	53	501	39	2017.1282	41.359	1.0567
557	medical history	-0.9887	0.4207	2	34	76	5	2020.2	9.2	1.408
567	metabolism	0.6402	-0.3621	1	43	140	13	2018.9231	30.2308	0.7747
569	metformin	-0.2388	-0.7549	3	43	161	14	2019.0714	51.7143	0.8047
575	microrna	1.0343	0.1609	1	26	53	5	2020.6	17.8	0.714
605	middle aged	-0.6247	-0.3487	2	50	401	30	2017.0667	39.7333	0.9089
642	non insulin dependent diabetes mellitus	0.1145	-0.1261	1	55	637	55	2018.8364	30.1091	1.0419
645	nonhuman	0.9634	-0.3054	1	34	73	7	2018.7143	34.2857	0.5841
651	obesity	-0.308	0.4035	2	41	114	9	2017.8889	29.1111	1.1406
660	overall survival	0.3344	-0.4941	1	32	58	5	2020.4	12.6	1.0968
666	pancreas cancer	0.1708	0.1096	1	55	666	59	2017.7119	49.2034	1.0418
667	pancreas carcinoma	0.2088	-0.6974	3	37	80	8	2018.5	56.25	1.2982
679	pancreas tumor	0.0277	-0.5039	3	55	372	29	2019.8276	27	1.1277
684	pancreatic neoplasms	-0.0537	-0.0372	3	55	555	46	2017.1087	57.8261	1.1553
689	pancreatitis	-0.8943	-0.2601	3	36	97	7	2019.5714	17.7143	1.4655
722	population research	-1.0318	-0.8026	3	23	70	5	2017.2	101.6	0.9671
755	protein expression	0.9715	-0.0181	1	34	69	6	2018.8333	45	1.6471
801	risk assessment	-1.1252	-0.1697	2	33	103	10	2015.8	65.1	1.0437
804	risk reduction	-0.6521	-0.7812	3	30	69	6	2018	96.3333	1.2471
818	sensitivity analysis	-0.4184	0.5616	3	31	63	5	2021.8	41.8	3.3373
831	smoking	-0.6189	0.4238	2	38	106	8	2015.125	40	1.4629
903	unclassified drug	1.2374	0.0737	1	21	46	6	2020.3333	13.5	0.3495
910	upregulation	0.8796	-0.1367	1	37	70	6	2020.6667	33.8333	1.4982
915	very elderly	-0.6823	0.7582	2	35	101	6	2017.8333	23.8333	0.7867
